orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,Population de l'Aire de Santé
République Démocratique du Congo,nk Nord Kivu Province,nk Karisimbi Zone de Santé,nk Majengo Aire de Santé,ak2PSrXi57B,nk Majengo Aire de Santé,61120111,,2020,2020,2020,,39995
République Démocratique du Congo,nk Nord Kivu Province,nk Katwa Zone de Santé,nk Makangala Aire de Santé,AuAnyiQfbRG,nk Makangala Aire de Santé,61410104,,2020,2020,2020,,20878
République Démocratique du Congo,nk Nord Kivu Province,nk Butembo Zone de Santé,nk Makasi Aire de Santé,T2CYe0dUasP,nk Makasi Aire de Santé,61420103,,2020,2020,2020,,7270
République Démocratique du Congo,nk Nord Kivu Province,nk Katwa Zone de Santé,nk Makerere Aire de Santé,OQydyqakDGu,nk Makerere Aire de Santé,61410105,,2020,2020,2020,,18480
République Démocratique du Congo,nk Nord Kivu Province,nk Kalunguta Zone de Santé,nk Makoko Aire de Santé,heQoVi32zkS,nk Makoko Aire de Santé,61310213,,2020,2020,2020,,3863
République Démocratique du Congo,nk Nord Kivu Province,nk Oicha Zone de Santé,nk Maleki Aire de Santé,WTs55f4e34s,nk Maleki Aire de Santé,61310711,,2020,2020,2020,,4418
République Démocratique du Congo,nk Nord Kivu Province,nk Itebero Zone de Santé,nk Malembe Aire de Santé,sUg3bIvgG1V,nk Malembe Aire de Santé,61220220,,2020,2020,2020,,10306
République Démocratique du Congo,nk Nord Kivu Province,nk Butembo Zone de Santé,nk Malende Aire de Santé,zx4T6k2ZDU7,nk Malende Aire de Santé,61420104,,2020,2020,2020,,9344
République Démocratique du Congo,nk Nord Kivu Province,nk Beni Zone de Santé,nk Malepe Aire de Santé,Xrn6aLV0gpf,nk Malepe Aire de Santé,61310110,,2020,2020,2020,,37018
République Démocratique du Congo,nk Nord Kivu Province,nk Mabalako Zone de Santé,nk Malese Aire de Santé,bXvu3Do30mb,nk Malese Aire de Santé,,,2020,2020,2020,,5395
République Démocratique du Congo,nk Nord Kivu Province,nk Manguredjipa Zone de Santé,nk Malunguma Aire de Santé,kH7P5Svgj3a,nk Malunguma Aire de Santé,61230506,,2020,2020,2020,,15934
République Démocratique du Congo,nk Nord Kivu Province,nk Butembo Zone de Santé,nk Mama Musayi Aire de Santé,iTHTvU2lW2x,nk Mama Musayi Aire de Santé,61420105,,2020,2020,2020,,17389
République Démocratique du Congo,nk Nord Kivu Province,nk Manguredjipa Zone de Santé,nk Mama Wa Huruma Aire de Santé,e9wyIeLOZpB,nk Mama Wa Huruma Aire de Santé,61230507,,2020,2020,2020,,6816
République Démocratique du Congo,nk Nord Kivu Province,nk Oicha Zone de Santé,nk Mambabeka Aire de Santé,gCa9PgACANJ,nk Mambabeka Aire de Santé,61310712,,2020,2020,2020,,22654
République Démocratique du Congo,nk Nord Kivu Province,nk Oicha Zone de Santé,nk Mambabio Aire de Santé,pzHFuU1jRuQ,nk Mambabio Aire de Santé,61310713,,2020,2020,2020,,2896
République Démocratique du Congo,nk Nord Kivu Province,nk Oicha Zone de Santé,nk Mambau Aire de Santé,u1CBxvzgVYq,nk Mambau Aire de Santé,61310714,,2020,2020,2020,,12562
République Démocratique du Congo,nk Nord Kivu Province,nk Kalunguta Zone de Santé,nk Mambingi Aire de Santé,EQehAg5EiZi,nk Mambingi Aire de Santé,61310214,,2020,2020,2020,,5709
République Démocratique du Congo,nk Nord Kivu Province,nk Biena Zone de Santé,nk Mambowa Aire de Santé,rGOrbxMbXhE,nk Mambowa Aire de Santé,61230308,,2020,2020,2020,,12156
République Démocratique du Congo,nk Nord Kivu Province,nk Oicha Zone de Santé,nk Mamove Aire de Santé,tAY0fQ6Me7S,nk Mamove Aire de Santé,61310715,,2020,2020,2020,,19545
République Démocratique du Congo,nk Nord Kivu Province,nk Biena Zone de Santé,nk Mandelya Aire de Santé,oSIvBm7CHCI,nk Mandelya Aire de Santé,61230309,,2020,2020,2020,,7943
République Démocratique du Congo,nk Nord Kivu Province,nk Itebero Zone de Santé,nk Mandje Aire de Santé,kLWUiFQVvBp,nk Mandje Aire de Santé,61220221,,2020,2020,2020,,5847
République Démocratique du Congo,nk Nord Kivu Province,nk Oicha Zone de Santé,nk Mangboko Aire de santé,trgDmDWqu59,nk Mangboko Aire de santé,61310716,,2020,2020,2020,,11426
République Démocratique du Congo,nk Nord Kivu Province,nk Katoyi Zone de Santé,nk Mangere Aire de Sante,iPnpQMzNsmz,nk Mangere Aire de Sante,,,2020,2020,2020,,7877
République Démocratique du Congo,nk Nord Kivu Province,nk Mabalako Zone de Santé,nk Mangina Aire de Santé,Ss273Ewbyyb,nk Mangina Aire de Santé,61310506,,2020,2020,2020,,27662
République Démocratique du Congo,nk Nord Kivu Province,nk Mabalako Zone de Santé,nk Mangodomu Aire de Santé,A74gvL9kKDk,nk Mangodomu Aire de Santé,61310507,,2020,2020,2020,,13648
République Démocratique du Congo,nk Nord Kivu Province,nk Manguredjipa Zone de Santé,nk Manguredjipa Aire de Santé,rAxkqOXJBUO,nk Manguredjipa Aire de Santé,61230508,,2020,2020,2020,,7816
République Démocratique du Congo,nk Nord Kivu Province,nk Mutwanga Zone de Santé,nk Manzanga Aire de Santé,D9fZNKocpJ8,nk Manzanga Aire de Santé,61310614,,2020,2020,2020,,8063
République Démocratique du Congo,nk Nord Kivu Province,nk Rutshuru Zone de Santé,nk Mapendo Aire de Santé,QcEJDHCKOUd,nk Mapendo Aire de Santé,,,2020,2020,2020,,23606
République Démocratique du Congo,nk Nord Kivu Province,nk Goma Zone de Santé,nk Mapendo Aire de Santé,QV7lB6BR1Qu,nk Mapendo Aire de Santé,61110109,,2020,2020,2020,,43308
République Démocratique du Congo,nk Nord Kivu Province,nk Bambo Zone de Santé,nk Marangara Aire de Santé,gz55v3NrLRA,nk Marangara Aire de Santé,61250209,,2020,2020,2020,,6189
République Démocratique du Congo,nk Nord Kivu Province,nk Mutwanga Zone de Santé,nk Masambo Aire de Santé,axq6EIx7TyQ,nk Masambo Aire de Santé,61310615,,2020,2020,2020,,19810
République Démocratique du Congo,nk Nord Kivu Province,nk Biena Zone de Santé,nk Masayi Aire de Santé,mnRzrN17p7H,nk Masayi Aire de Santé,61230310,,2020,2020,2020,,5735
République Démocratique du Congo,nk Nord Kivu Province,nk Masereka Zone de Santé,nk Masereka Aire de Santé,rbyDgUAUMIh,nk Masereka Aire de Santé,61230610,,2020,2020,2020,,19318
République Démocratique du Congo,nk Nord Kivu Province,nk Pinga Zone de Santé,nk Mashuta Aire de Santé,LNSMZJYiyzX,nk Mashuta Aire de Santé,61220411,,2020,2020,2020,,7222
République Démocratique du Congo,nk Nord Kivu Province,nk Alimbongo Zone de Santé,nk Masika Aire de Santé,Lu2Or0TNcbm,nk Masika Aire de Santé,61230216,,2020,2020,2020,,7618
République Démocratique du Congo,nk Nord Kivu Province,nk Katwa Zone de Santé,nk Masiki Aire de Santé,k2dFTwWFFOb,nk Masiki Aire de Santé,61410106,,2020,2020,2020,,19540
République Démocratique du Congo,nk Nord Kivu Province,nk Biena Zone de Santé,nk Masingi Aire de Santé,jFnpf9Dl4Su,nk Masingi Aire de Santé,61230311,,2020,2020,2020,,9116
République Démocratique du Congo,nk Nord Kivu Province,nk Masisi Zone de Santé,nk Masisi Aire de Santé,YWHVdBuIJNX,nk Masisi Aire de Santé,61260117,,2020,2020,2020,,35971
République Démocratique du Congo,nk Nord Kivu Province,nk Oicha Zone de Santé,nk Masosi Aire de Santé,bjx2D0rsMcq,nk Masosi Aire de Santé,61310717,,2020,2020,2020,,15262
République Démocratique du Congo,nk Nord Kivu Province,nk Biena Zone de Santé,nk Masoya Aire de Santé,kb84kVnH8yN,nk Masoya Aire de Santé,61230312,,2020,2020,2020,,6879
République Démocratique du Congo,nk Nord Kivu Province,nk Katwa Zone de Santé,nk Masuli Aire de Santé,U5O0LDXWZNo,nk Masuli Aire de Santé,61410107,,2020,2020,2020,,27549
République Démocratique du Congo,nk Nord Kivu Province,nk Musienene Zone de Santé,nk Masumo Aire de Santé,a15NBuBJv9A,nk Masumo Aire de Santé,61230711,,2020,2020,2020,,8034
République Démocratique du Congo,nk Nord Kivu Province,nk Kalunguta Zone de Santé,nk Mataba Aire de Santé,wBeea682zc0,nk Mataba Aire de Santé,61310215,,2020,2020,2020,,8706
République Démocratique du Congo,nk Nord Kivu Province,nk Kirotshe Zone de Santé,nk Matanda Aire de Santé,Lf7ovmx8VcQ,nk Matanda Aire de Santé,,,2020,2020,2020,,12326
République Démocratique du Congo,nk Nord Kivu Province,nk Butembo Zone de Santé,nk Matanda Aire de Santé,wn5OSK5b7UQ,nk Matanda Aire de Santé,61420106,,2020,2020,2020,,13123
République Démocratique du Congo,nk Nord Kivu Province,nk Rwanguba Zone de Santé,nk Matebe Aire de Santé,hImbNgz0yQj,nk Matebe Aire de Santé,61250608,,2020,2020,2020,,9602
République Démocratique du Congo,nk Nord Kivu Province,nk Alimbongo Zone de Santé,nk Matembe Aire de Santé,HozndSPPVdC,nk Matembe Aire de Santé,61230217,,2020,2020,2020,,8757
République Démocratique du Congo,nk Nord Kivu Province,nk Biena Zone de Santé,nk Mateto Aire de Santé,dxPQ2bjbvoH,nk Mateto Aire de Santé,61230313,,2020,2020,2020,,12444
République Démocratique du Congo,nk Nord Kivu Province,nk Oicha Zone de Santé,nk Mavivi Aire de Santé,KlRrI9B6l0B,nk Mavivi Aire de Santé,61310718,,2020,2020,2020,,21280
République Démocratique du Congo,nk Nord Kivu Province,nk Oicha Zone de Santé,nk Mbau Aire de Santé,YchKQdBPUVQ,nk Mbau Aire de Santé,61310719,,2020,2020,2020,,19104
République Démocratique du Congo,nk Nord Kivu Province,nk Kalunguta Zone de Santé,nk Mbilinga Aire de Santé,hjpyFaSxg9E,nk Mbilinga Aire de Santé,61310216,,2020,2020,2020,,6765
République Démocratique du Congo,nk Nord Kivu Province,nk Masisi Zone de Santé,nk Mbitsi Aire de Santé,eTLV8OvtmLu,nk Mbitsi Aire de Santé,61260118,,2020,2020,2020,,13608
République Démocratique du Congo,nk Nord Kivu Province,nk Kyondo Zone de Santé,nk Mbungwe Aire de Santé,FUvz4GhVdmz,nk Mbungwe Aire de Santé,61310414,,2020,2020,2020,,4821
République Démocratique du Congo,nk Nord Kivu Province,nk Oicha Zone de Santé,nk Mbutaba Aire de Santé,EVtVXEvfkr8,nk Mbutaba Aire de Santé,61310720,,2020,2020,2020,,2911
République Démocratique du Congo,nk Nord Kivu Province,nk Mabalako Zone de Santé,nk Metale Aire de Santé,YHK7LYlz3z5,nk Metale Aire de Santé,,,2020,2020,2020,,6957
République Démocratique du Congo,nk Nord Kivu Province,nk Masisi Zone de Santé,nk Miandja Aire de Santé,RnJp7DNSzk0,nk Miandja Aire de Santé,61260119,,2020,2020,2020,,29869
République Démocratique du Congo,nk Nord Kivu Province,nk Itebero Zone de Santé,nk Mianga Aire de Santé,gmvwqjg6pHH,nk Mianga Aire de Santé,61220222,,2020,2020,2020,,6487
République Démocratique du Congo,nk Nord Kivu Province,nk Manguredjipa Zone de Santé,nk Midede Aire de Santé,pgbGdHSjx3k,nk Midede Aire de Santé,61230509,,2020,2020,2020,,4441
République Démocratique du Congo,nk Nord Kivu Province,nk Itebero Zone de Santé,nk Mifuti Aire de Santé,tocPyavLjeP,nk Mifuti Aire de Santé,61220223,,2020,2020,2020,,9471
République Démocratique du Congo,nk Nord Kivu Province,nk Kayna Zone de Santé,nk Mighobwe Aire de Santé,eOGZt0Tvmth,nk Mighobwe Aire de Santé,61230415,,2020,2020,2020,,14572
République Démocratique du Congo,nk Nord Kivu Province,nk Masereka Zone de Santé,nk Mihake Aire de Santé,zD7h39hUmDT,nk Mihake Aire de Santé,61230611,,2020,2020,2020,,6151
République Démocratique du Congo,nk Nord Kivu Province,nk Kayna Zone de Santé,nk Miriki Aire de Santé,YOCxdU5vnPH,nk Miriki Aire de Santé,61230416,,2020,2020,2020,,14516
République Démocratique du Congo,nk Nord Kivu Province,nk Masereka Zone de Santé,nk Miringate Aire de Santé,U41AgrTrUfJ,nk Miringate Aire de Santé,61230612,,2020,2020,2020,,6784
République Démocratique du Congo,nk Nord Kivu Province,nk Kibua Zone de Santé,nk Misau Aire de Santé,RIoOzs45SXC,nk Misau Aire de Santé,61220313,,2020,2020,2020,,8511
République Démocratique du Congo,nk Nord Kivu Province,nk Katwa Zone de Santé,nk Mitoya Aire de Santé,p4H9ow0baDJ,nk Mitoya Aire de Santé,61410108,,2020,2020,2020,,17362
République Démocratique du Congo,nk Nord Kivu Province,nk Kirotshe Zone de Santé,nk Mitumbala Aire de Santé,nZg6DJFA6Cx,nk Mitumbala Aire de Santé,61260319,,2020,2020,2020,,7166
République Démocratique du Congo,nk Nord Kivu Province,nk Mweso Zone de Santé,nk Mokoto Aire de Santé,zTVkK8wAZYH,nk Mokoto Aire de Santé,61260418,,2020,2020,2020,,12722
République Démocratique du Congo,nk Nord Kivu Province,nk Butembo Zone de Santé,nk Mondo Aire de Santé,QqHuSRdy9Qd,nk Mondo Aire de Santé,61420107,,2020,2020,2020,,16870
République Démocratique du Congo,nk Nord Kivu Province,nk Walikale Zone de Santé,nk Moria Aire de Santé,RxMoerpfmqw,nk Moria Aire de Santé,61220108,,2020,2020,2020,,10845
République Démocratique du Congo,nk Nord Kivu Province,nk Masisi Zone de Santé,nk Mpanamo Aire de Santé,zjFb23Ao07l,nk Mpanamo Aire de Santé,61260120,,2020,2020,2020,,8296
République Démocratique du Congo,nk Nord Kivu Province,nk Pinga Zone de Santé,nk MPety Aire de Santé,LqRTuSt46Be,nk MPety Aire de Santé,61220412,,2020,2020,2020,,12546
République Démocratique du Congo,nk Nord Kivu Province,nk Walikale Zone de Santé,nk Mpofi Aire de Santé,QftXgw581c3,nk Mpofi Aire de Santé,61220109,,2020,2020,2020,,9038
République Démocratique du Congo,nk Nord Kivu Province,nk Lubero Zone de Santé,nk Mubana Aire de Santé,JkfO7XNFrU5,nk Mubana Aire de Santé,61230116,,2020,2020,2020,,8700
République Démocratique du Congo,nk Nord Kivu Province,nk Katwa Zone de Santé,nk Muchanga Aire de Santé,YTRf7A6SmrY,nk Muchanga Aire de Santé,61410109,,2020,2020,2020,,49756
République Démocratique du Congo,nk Nord Kivu Province,nk Nyiragongo Zone de Santé,nk Mudja Aire de Santé,NHVPxlF0bHa,nk Mudja Aire de Santé,61270107,,2020,2020,2020,,19001
République Démocratique du Congo,nk Nord Kivu Province,nk Karisimbi Zone de Santé,nk Mugunga Aire de Santé,lsISZwaqjSM,nk Mugunga Aire de Santé,61120113,,2020,2020,2020,,42439
République Démocratique du Congo,nk Nord Kivu Province,nk Masisi Zone de Santé,nk Muheto Aire de Santé,ZrKxuV3Wpkh,nk Muheto Aire de Santé,61260121,,2020,2020,2020,,23361
République Démocratique du Congo,nk Nord Kivu Province,nk Musienene Zone de Santé,nk Mukongo Aire de Santé,dGwWZrmk4zJ,nk Mukongo Aire de Santé,61230712,,2020,2020,2020,,19943
République Démocratique du Congo,nk Nord Kivu Province,nk Beni Zone de Santé,nk Mukulya Aire de Santé,Dh2LbTYnYop,nk Mukulya Aire de Santé,61310111,,2020,2020,2020,,18618
République Démocratique du Congo,nk Nord Kivu Province,nk Katwa Zone de Santé,nk Mukuna Aire de Santé,T6z6xgFZ0qp,nk Mukuna Aire de Santé,61410110,,2020,2020,2020,,46186
République Démocratique du Congo,nk Nord Kivu Province,nk Kibirizi Zone de Santé,nk Muliki Aire de Santé,U9azrZP9F0P,nk Muliki Aire de Santé,61250518,,2020,2020,2020,,9245
République Démocratique du Congo,nk Nord Kivu Province,nk Birambizo Zone de Santé,nk Mulimbi Aire de santé,CNJv92oO1sw,nk Mulimbi Aire de santé,61250408,,2020,2020,2020,,14829
République Démocratique du Congo,nk Nord Kivu Province,nk Kayna Zone de Santé,nk Mulinde Aire de Santé,QJBAuFOhRFx,nk Mulinde Aire de Santé,61230417,,2020,2020,2020,,15225
République Démocratique du Congo,nk Nord Kivu Province,nk Lubero Zone de Santé,nk Mulo Aire de Santé,EMoNoW3qFZQ,nk Mulo Aire de Santé,61230117,,2020,2020,2020,,19170
République Démocratique du Congo,nk Nord Kivu Province,nk Kamango Zone de Santé,nk Mulopia Aire de Santé,gcZpD7B7PYX,nk Mulopia Aire de Santé,61310311,,2020,2020,2020,,10459
République Démocratique du Congo,nk Nord Kivu Province,nk Kirotshe Zone de Santé,nk Mumba Aire de Santé,LL806rGImSr,nk Mumba Aire de Santé,61260320,,2020,2020,2020,,13721
République Démocratique du Congo,nk Nord Kivu Province,nk Walikale Zone de Santé,nk Mundindi Aire de Santé,cbiPZF7wxsk,nk Mundindi Aire de Santé,61220110,,2020,2020,2020,,11905
République Démocratique du Congo,nk Nord Kivu Province,nk Musienene Zone de Santé,nk Munoli Aire de Santé,iPrad6vTsEn,nk Munoli Aire de Santé,61230713,,2020,2020,2020,,15895
République Démocratique du Congo,nk Nord Kivu Province,nk Pinga Zone de Santé,nk Munsanga Aire de Santé,uSfPb1daxpZ,nk Munsanga Aire de Santé,61220413,,2020,2020,2020,,13743
République Démocratique du Congo,nk Nord Kivu Province,nk Mabalako Zone de Santé,nk Mununze Aire de Santé,BPtYEcXmZa8,nk Mununze Aire de Santé,61310508,,2020,2020,2020,,8076
République Démocratique du Congo,nk Nord Kivu Province,nk Binza Zone de Santé,nk Munyaga Aire de Santé,YC2uWKhBvew,nk Munyaga Aire de Santé,61250308,,2020,2020,2020,,8684
République Démocratique du Congo,nk Nord Kivu Province,nk Butembo Zone de Santé,nk Munzambaye Aire de Santé,OMfXuejcpQI,nk Munzambaye Aire de Santé,61420108,,2020,2020,2020,,20813
République Démocratique du Congo,nk Nord Kivu Province,nk Mutwanga Zone de Santé,nk Muramba Aire de Santé,QRx5tYp1jui,nk Muramba Aire de Santé,61310616,,2020,2020,2020,,12611
République Démocratique du Congo,nk Nord Kivu Province,nk Rutshuru Zone de Santé,nk Murambi Aire de Santé,uAAh41pWMti,nk Murambi Aire de Santé,,,2020,2020,2020,,25891
République Démocratique du Congo,nk Nord Kivu Province,nk Kirotshe Zone de Santé,nk Murambi Aire de Santé,XAkvOSzXG9K,nk Murambi Aire de Santé,61260321,,2020,2020,2020,,8564
République Démocratique du Congo,nk Nord Kivu Province,nk Karisimbi Zone de Santé,nk Murara Aire de Santé,eIeuFhn4mqq,nk Murara Aire de Santé,61120114,,2020,2020,2020,,13366
République Démocratique du Congo,nk Nord Kivu Province,nk Itebero Zone de Santé,nk Muruo Aire de Santé,nbdWIsYyVeo,nk Muruo Aire de Santé,61220224,,2020,2020,2020,,5823
République Démocratique du Congo,nk Nord Kivu Province,nk Kamango Zone de Santé,nk Musale Aire de Santé,YHsN6ckqMmx,nk Musale Aire de Santé,61310312,,2020,2020,2020,,5770
République Démocratique du Congo,nk Nord Kivu Province,nk Vuhovi Zone de Santé,nk Musenda Aire de Santé,OQrMuddxbdY,nk Musenda Aire de Santé,61310810,,2020,2020,2020,,6245
République Démocratique du Congo,nk Nord Kivu Province,nk Biena Zone de Santé,nk Musenge Aire de Santé,Lp7Ef9hMWhP,nk Musenge Aire de Santé,61230314,,2020,2020,2020,,4834
République Démocratique du Congo,nk Nord Kivu Province,nk Itebero Zone de Santé,nk Musenge Aire de Santé,p4lGTPSmMDZ,nk Musenge Aire de Santé,,,2020,2020,2020,,7631
République Démocratique du Congo,nk Nord Kivu Province,nk Kyondo Zone de Santé,nk Museya Aire de Santé,p1OwmPtpolg,nk Museya Aire de Santé,61310415,,2020,2020,2020,,11128
République Démocratique du Congo,nk Nord Kivu Province,nk Bambo Zone de Santé,nk Mushababwe Aire de Santé,X537KDLtBBY,nk Mushababwe Aire de Santé,61250210,,2020,2020,2020,,13048
République Démocratique du Congo,nk Nord Kivu Province,nk Kirotshe Zone de Santé,nk Mushaki Aire de Santé,Nim6TZT4C2C,nk Mushaki Aire de Santé,61260322,,2020,2020,2020,,9589
République Démocratique du Congo,nk Nord Kivu Province,nk Birambizo Zone de Santé,nk Mushebere Aire de Santé,Zs3IEJaugL4,nk Mushebere Aire de Santé,61250409,,2020,2020,2020,,11075
République Démocratique du Congo,nk Nord Kivu Province,nk Oicha Zone de Santé,nk Musuku Aire de Santé,bfT3YoFutpL,nk Musuku Aire de Santé,61310721,,2020,2020,2020,,5540
République Démocratique du Congo,nk Nord Kivu Province,nk Rwanguba Zone de Santé,nk Mutabo Aire de Santé,IQrcWYliKNU,nk Mutabo Aire de Santé,61250609,,2020,2020,2020,,7915
République Démocratique du Congo,nk Nord Kivu Province,nk Walikale Zone de Santé,nk Mutakato Aire de Santé,k0LjAg2i8so,nk Mutakato Aire de Santé,61220111,,2020,2020,2020,,8039
République Démocratique du Congo,nk Nord Kivu Province,nk Vuhovi Zone de Santé,nk Mutendero Aire de Santé,IcuDFc37gms,nk Mutendero Aire de Santé,61310811,,2020,2020,2020,,12166
République Démocratique du Congo,nk Nord Kivu Province,nk Pinga Zone de Santé,nk Mutongo Aire de Santé,E7B9cpGiouB,nk Mutongo Aire de Santé,61220414,,2020,2020,2020,,13474
République Démocratique du Congo,nk Nord Kivu Province,nk Karisimbi Zone de Santé,nk Muungano Resurrection Aire de Santé,XXrtHmtqx4U,nk Muungano Resurrection Aire de Santé,61120115,,2020,2020,2020,,43912
République Démocratique du Congo,nk Nord Kivu Province,nk Karisimbi Zone de Santé,nk Muungano Solidarité Aire de Santé,lEXsPeubjCR,nk Muungano Solidarité Aire de Santé,61120116,,2020,2020,2020,,12953
République Démocratique du Congo,nk Nord Kivu Province,nk Katwa Zone de Santé,nk Muyisa Aire de Santé,GyXBSskHeXb,nk Muyisa Aire de Santé,61410111,,2020,2020,2020,,19797
République Démocratique du Congo,nk Nord Kivu Province,nk Mweso Zone de Santé,nk Mwanja Aire de Santé,dXmsA7jKDwD,nk Mwanja Aire de Santé,61260419,,2020,2020,2020,,8109
République Démocratique du Congo,nk Nord Kivu Province,nk Mutwanga Zone de Santé,nk Mwenda Aire de Santé,yuqMzohRoiE,nk Mwenda Aire de Santé,61310617,,2020,2020,2020,,16209
République Démocratique du Congo,nk Nord Kivu Province,nk Karisimbi Zone de Santé,nk Méthodiste Unis de Majengo Aire de santé,PGXd2AF27iv,nk Méthodiste Unis de Majengo Aire de santé,61120112,,2020,2020,2020,,24402
République Démocratique du Congo,nk Nord Kivu Province,nk Kibua Zone de Santé,nk N'Kimba Aire de Santé,LG6j8Ir7Wky,nk N'Kimba Aire de Santé,61220315,,2020,2020,2020,,3498
République Démocratique du Congo,nk Nord Kivu Province,nk Kamango Zone de Santé,nk Ndama Aire de Santé,wan5pKFAYAM,nk Ndama Aire de Santé,61310313,,2020,2020,2020,,6070
République Démocratique du Congo,nk Nord Kivu Province,nk Walikale Zone de Santé,nk Ndjingala Aire de Santé,tONEnUx5903,nk Ndjingala Aire de Santé,61220112,,2020,2020,2020,,12282
République Démocratique du Congo,nk Nord Kivu Province,nk Walikale Zone de Santé,nk Ndofia Aire de Santé,C7DEzqn4Ozh,nk Ndofia Aire de Santé,61220113,,2020,2020,2020,,8909
République Démocratique du Congo,nk Nord Kivu Province,nk Alimbongo Zone de Santé,nk Ndoluma Aire de Santé,B0GhVwpwyon,nk Ndoluma Aire de Santé,61230218,,2020,2020,2020,,11334
République Démocratique du Congo,nk Nord Kivu Province,nk Karisimbi Zone de Santé,nk Ndosho Aire de Santé,E0G7qQsMq6h,nk Ndosho Aire de Santé,61120117,,2020,2020,2020,,23437
République Démocratique du Congo,nk Nord Kivu Province,nk Musienene Zone de Santé,nk Nduko Aire de Santé,MjnyS5zlIsJ,nk Nduko Aire de Santé,61230714,,2020,2020,2020,,40061
République Démocratique du Congo,nk Nord Kivu Province,nk Nyiragongo Zone de Santé,nk Ngangi III Aire de Santé,XFarOAwwDrp,nk Ngangi III Aire de Santé,61270108,,2020,2020,2020,,36649
République Démocratique du Congo,nk Nord Kivu Province,nk Mabalako Zone de Santé,nk Ngazi Aire de Santé,sanchm96YUk,nk Ngazi Aire de Santé,61310509,,2020,2020,2020,,8305
République Démocratique du Congo,nk Nord Kivu Province,nk Alimbongo Zone de Santé,nk Ngekeni Aire de Santé,mAiVznVgBgZ,nk Ngekeni Aire de Santé,61230219,,2020,2020,2020,,6244
République Démocratique du Congo,nk Nord Kivu Province,nk Musienene Zone de Santé,nk Ngeleza Aire de Santé,rVcCzsacZyT,nk Ngeleza Aire de Santé,61230715,,2020,2020,2020,,10701
République Démocratique du Congo,nk Nord Kivu Province,nk Kibua Zone de Santé,nk Ngenge Aire de Santé,hliFySNJ9DO,nk Ngenge Aire de Santé,61220314,,2020,2020,2020,,10625
République Démocratique du Congo,nk Nord Kivu Province,nk Butembo Zone de Santé,nk Ngengere Aire de Santé,SBRkiojLCpf,nk Ngengere Aire de Santé,61420109,,2020,2020,2020,,10183
République Démocratique du Congo,nk Nord Kivu Province,nk Kyondo Zone de Santé,nk Ngitse Aire de Santé,uIwU78FAx2B,nk Ngitse Aire de Santé,61310416,,2020,2020,2020,,8076
République Démocratique du Congo,nk Nord Kivu Province,nk Birambizo Zone de Santé,nk Ngogholo Aire de Santé,x2DGm1UmW81,nk Ngogholo Aire de Santé,61250410,,2020,2020,2020,,15642
République Démocratique du Congo,nk Nord Kivu Province,nk Musienene Zone de Santé,nk Ngoma Aire de Santé,Z8UyN8rlqkt,nk Ngoma Aire de Santé,61230716,,2020,2020,2020,,11292
République Démocratique du Congo,nk Nord Kivu Province,nk Masisi Zone de Santé,nk Ngomashi Aire de Santé,OQqtMTPeB0M,nk Ngomashi Aire de Santé,61260122,,2020,2020,2020,,14315
République Démocratique du Congo,nk Nord Kivu Province,nk Beni Zone de Santé,nk Ngongolio Aire de Santé,A3gZeXx1ZZX,nk Ngongolio Aire de Santé,61310112,,2020,2020,2020,,41268
République Démocratique du Congo,nk Nord Kivu Province,nk Mabalako Zone de Santé,nk Ngoyo Aire de Santé,kKcDCLSEwvk,nk Ngoyo Aire de Santé,61310510,,2020,2020,2020,,11289
République Démocratique du Congo,nk Nord Kivu Province,nk Kirotshe Zone de Santé,nk Ngungu Aire de Santé,GEcZOvH5wzE,nk Ngungu Aire de Santé,61260323,,2020,2020,2020,,27490
République Démocratique du Congo,nk Nord Kivu Province,nk Katoyi Zone de Santé,nk Nihima Aire de Santé,CkgyJnMamx5,nk Nihima Aire de Santé,,,2020,2020,2020,,7894
République Démocratique du Congo,nk Nord Kivu Province,nk Kamango Zone de Santé,nk Njiapanda Aire de Santé,NIiWmFeuboE,nk Njiapanda Aire de Santé,61310314,,2020,2020,2020,,15185
République Démocratique du Congo,nk Nord Kivu Province,nk Pinga Zone de Santé,nk Nkasa Aire de Santé,VrFCNm9UGbZ,nk Nkasa Aire de Santé,61220415,,2020,2020,2020,,16101
République Démocratique du Congo,nk Nord Kivu Province,nk Rwanguba Zone de Santé,nk Nkokwe Aire de Santé,QhDEjp4Cp0s,nk Nkokwe Aire de Santé,61250610,,2020,2020,2020,,6350
République Démocratique du Congo,nk Nord Kivu Province,nk Rwanguba Zone de Santé,nk Ntamugenga Aire de Santé,xxfoY2s5jpM,nk Ntamugenga Aire de Santé,61250611,,2020,2020,2020,,17601
République Démocratique du Congo,nk Nord Kivu Province,nk Kibua Zone de Santé,nk Ntoto Aire de Santé,mo1Qg6R1mKx,nk Ntoto Aire de Santé,61220316,,2020,2020,2020,,7183
République Démocratique du Congo,nk Nord Kivu Province,nk Binza Zone de Santé,nk Nyabanira Aire de Santé,CjdzbtxoN9W,nk Nyabanira Aire de Santé,61250309,,2020,2020,2020,,9429
